"Hero","Role","Pick_rate","Win_rate","Tie_Rate","On_fire","Platform","Rank","Date"
"Ana","SUPPORT",9.94,53.68,1.89,11.68,"PC","Grandmaster",2019-04-22 18:22:10
"Lúcio","SUPPORT",6.93,53.61,1.69,12.59,"PC","Grandmaster",2019-04-22 18:22:10
"D.Va","TANK",5.76,53.31,2.54,6.07,"PC","Grandmaster",2019-04-22 18:22:10
"Widowmaker","DEFENSE",5.36,53.21,1.2,10.1,"PC","Grandmaster",2019-04-22 18:22:10
"Zenyatta","SUPPORT",5.24,55.42,1.84,6.89,"PC","Grandmaster",2019-04-22 18:22:10
"Mercy","SUPPORT",4.95,54.3,2.14,2.28,"PC","Grandmaster",2019-04-22 18:22:10
"Reinhardt","TANK",4.88,53.81,2.04,8.53,"PC","Grandmaster",2019-04-22 18:22:10
"Winston","TANK",4.86,53.22,1.85,6.54,"PC","Grandmaster",2019-04-22 18:22:10
"Wrecking Ball","TANK",4.69,53.11,1.82,3.29,"PC","Grandmaster",2019-04-22 18:22:10
"Hanzo","DEFENSE",4.62,51.29,2.08,13.01,"PC","Grandmaster",2019-04-22 18:22:10
"Orisa","TANK",4.61,57.34,2.2,8.9,"PC","Grandmaster",2019-04-22 18:22:10
"Roadhog","TANK",4.46,54.14,1.69,9.91,"PC","Grandmaster",2019-04-22 18:22:10
"Zarya","TANK",4.11,54.59,1.6,13.41,"PC","Grandmaster",2019-04-22 18:22:10
"Genji","OFFENSE",3.31,52.35,1.8,11.91,"PC","Grandmaster",2019-04-22 18:22:10
"Tracer","OFFENSE",3.26,53.46,1.78,7.87,"PC","Grandmaster",2019-04-22 18:22:10
"Baptiste","SUPPORT",2.71,53.3,2.25,12.59,"PC","Grandmaster",2019-04-22 18:22:10
"Sombra","OFFENSE",2.57,52.13,3,12.15,"PC","Grandmaster",2019-04-22 18:22:10
"Torbjörn","DEFENSE",2.39,56.71,2.29,7.64,"PC","Grandmaster",2019-04-22 18:22:10
"McCree","OFFENSE",2.35,50.14,0.95,10.04,"PC","Grandmaster",2019-04-22 18:22:10
"Doomfist","OFFENSE",2.3,56,1.54,7.26,"PC","Grandmaster",2019-04-22 18:22:10
"Soldier: 76","OFFENSE",1.83,55.68,1.14,9.81,"PC","Grandmaster",2019-04-22 18:22:10
"Brigitte","SUPPORT",1.76,52.7,1.91,11.33,"PC","Grandmaster",2019-04-22 18:22:10
"Ashe","OFFENSE",1.69,56.45,2.09,11.07,"PC","Grandmaster",2019-04-22 18:22:10
"Mei","DEFENSE",1.41,56.14,2.29,8.03,"PC","Grandmaster",2019-04-22 18:22:10
"Moira","SUPPORT",0.87,52.99,0.74,11.48,"PC","Grandmaster",2019-04-22 18:22:10
"Symmetra","SUPPORT",0.79,59.5,2.64,6.17,"PC","Grandmaster",2019-04-22 18:22:10
"Bastion","DEFENSE",0.7,56,2.75,16.61,"PC","Grandmaster",2019-04-22 18:22:10
"Junkrat","DEFENSE",0.59,54.67,1.36,7.42,"PC","Grandmaster",2019-04-22 18:22:10
"Pharah","OFFENSE",0.59,51.51,0.82,13.34,"PC","Grandmaster",2019-04-22 18:22:10
"Reaper","OFFENSE",0.47,59.45,1.36,10.76,"PC","Grandmaster",2019-04-22 18:22:10
"Reinhardt","TANK",9.66,50.53,2.41,7.72,"PSN","All",2019-04-22 18:44:23
"Mercy","SUPPORT",7.44,50.2,2.31,1.81,"PSN","All",2019-04-22 18:44:23
"Moira","SUPPORT",7.43,50.77,2.43,9.88,"PSN","All",2019-04-22 18:44:23
"Lúcio","SUPPORT",5.74,52.7,2.12,13.38,"PSN","All",2019-04-22 18:44:23
"D.Va","TANK",5.71,51.03,2.45,8.12,"PSN","All",2019-04-22 18:44:23
"Orisa","TANK",4.91,55.16,2.45,8.95,"PSN","All",2019-04-22 18:44:23
"Baptiste","SUPPORT",4.56,49.44,2.32,12.17,"PSN","All",2019-04-22 18:44:23
"Zarya","TANK",4,48.67,2.25,10.1,"PSN","All",2019-04-22 18:44:23
"Roadhog","TANK",3.93,51.12,1.9,10.32,"PSN","All",2019-04-22 18:44:23
"Ana","SUPPORT",3.76,47.07,2.36,8.86,"PSN","All",2019-04-22 18:44:23
"Hanzo","DEFENSE",3.37,47.98,2.23,13.91,"PSN","All",2019-04-22 18:44:23
"Soldier: 76","OFFENSE",2.94,50.17,1.84,11.91,"PSN","All",2019-04-22 18:44:23
"Junkrat","DEFENSE",2.92,50.78,2.91,11.83,"PSN","All",2019-04-22 18:44:23
"Reaper","OFFENSE",2.92,50.14,1.94,16.99,"PSN","All",2019-04-22 18:44:23
"Wrecking Ball","TANK",2.91,51.41,1.79,3.43,"PSN","All",2019-04-22 18:44:23
"Zenyatta","SUPPORT",2.89,51.87,2.09,7,"PSN","All",2019-04-22 18:44:23
"McCree","OFFENSE",2.71,47.6,1.8,10.83,"PSN","All",2019-04-22 18:44:23
"Genji","OFFENSE",2.64,48.66,1.82,10.02,"PSN","All",2019-04-22 18:44:23
"Widowmaker","DEFENSE",2.37,47.54,1.88,8.92,"PSN","All",2019-04-22 18:44:23
"Ashe","OFFENSE",2.1,50.92,1.98,9.3,"PSN","All",2019-04-22 18:44:23
"Pharah","OFFENSE",1.91,49.1,2.18,13.38,"PSN","All",2019-04-22 18:44:23
"Sombra","OFFENSE",1.87,46.38,2.23,14.67,"PSN","All",2019-04-22 18:44:23
"Symmetra","SUPPORT",1.73,57.01,2.9,10.16,"PSN","All",2019-04-22 18:44:23
"Torbjörn","DEFENSE",1.7,55.3,2.43,10.03,"PSN","All",2019-04-22 18:44:23
"Brigitte","SUPPORT",1.68,55.41,1.88,12.27,"PSN","All",2019-04-22 18:44:23
"Winston","TANK",1.66,47.87,1.71,5.45,"PSN","All",2019-04-22 18:44:23
"Tracer","OFFENSE",1.5,46.85,1.78,8.38,"PSN","All",2019-04-22 18:44:23
"Mei","DEFENSE",1.41,51.49,2.31,11.21,"PSN","All",2019-04-22 18:44:23
"Doomfist","OFFENSE",1.24,51.04,1.39,8.02,"PSN","All",2019-04-22 18:44:23
"Bastion","DEFENSE",1.1,49.2,3.04,15.95,"PSN","All",2019-04-22 18:44:23
"Reinhardt","TANK",8.92,49.73,2.49,7.57,"PSN","Bronze",2019-04-22 18:44:23
"Moira","SUPPORT",8.6,49.91,2.51,7.46,"PSN","Bronze",2019-04-22 18:44:23
"Mercy","SUPPORT",7.83,43.61,2.76,1.17,"PSN","Bronze",2019-04-22 18:44:23
"D.Va","TANK",7.83,44.49,3.35,5.25,"PSN","Bronze",2019-04-22 18:44:23
"Orisa","TANK",6.42,51.37,3.61,5.63,"PSN","Bronze",2019-04-22 18:44:23
"Lúcio","SUPPORT",5.34,49.41,1.73,9.45,"PSN","Bronze",2019-04-22 18:44:23
"Soldier: 76","OFFENSE",3.66,42.54,3.8,8.62,"PSN","Bronze",2019-04-22 18:44:23
"Symmetra","SUPPORT",3.63,55.36,0.85,8.68,"PSN","Bronze",2019-04-22 18:44:23
"Zenyatta","SUPPORT",3.55,38.05,1.74,5.61,"PSN","Bronze",2019-04-22 18:44:23
"Reaper","OFFENSE",3.33,50.93,0.93,14.97,"PSN","Bronze",2019-04-22 18:44:23
"Baptiste","SUPPORT",3.18,45.81,1.46,6.31,"PSN","Bronze",2019-04-22 18:44:23
"Junkrat","DEFENSE",3.12,35.35,1.98,11.32,"PSN","Bronze",2019-04-22 18:44:23
"Bastion","DEFENSE",2.69,42.94,2.3,9.97,"PSN","Bronze",2019-04-22 18:44:23
"Ana","SUPPORT",2.67,41.07,2.89,4.59,"PSN","Bronze",2019-04-22 18:44:23
"Roadhog","TANK",2.58,40.36,0.6,5.3,"PSN","Bronze",2019-04-22 18:44:23
"Widowmaker","DEFENSE",2.53,38.51,1.83,6.76,"PSN","Bronze",2019-04-22 18:44:23
"Zarya","TANK",2.42,44.23,0.64,4.61,"PSN","Bronze",2019-04-22 18:44:23
"Mei","DEFENSE",2.3,40,2.68,8.28,"PSN","Bronze",2019-04-22 18:44:23
"Wrecking Ball","TANK",2.25,41.26,2.05,2.2,"PSN","Bronze",2019-04-22 18:44:23
"Torbjörn","DEFENSE",2.25,46.9,0.68,7.2,"PSN","Bronze",2019-04-22 18:44:23
"Hanzo","DEFENSE",2.15,37.78,2.88,9.78,"PSN","Bronze",2019-04-22 18:44:23
"Ashe","OFFENSE",2.02,41.41,2.29,3.71,"PSN","Bronze",2019-04-22 18:44:23
"Sombra","OFFENSE",1.74,33.33,1.77,8.72,"PSN","Bronze",2019-04-22 18:44:23
"Winston","TANK",1.7,44.04,0.91,2.76,"PSN","Bronze",2019-04-22 18:44:23
"McCree","OFFENSE",1.59,37.86,0,9.02,"PSN","Bronze",2019-04-22 18:44:23
"Brigitte","SUPPORT",1.48,53.19,2.08,5.52,"PSN","Bronze",2019-04-22 18:44:23
"Tracer","OFFENSE",1.39,43.33,0,5.58,"PSN","Bronze",2019-04-22 18:44:23
"Pharah","OFFENSE",1.39,41.11,0,8.03,"PSN","Bronze",2019-04-22 18:44:23
"Genji","OFFENSE",1.31,34.94,2.35,7.22,"PSN","Bronze",2019-04-22 18:44:23
"Doomfist","OFFENSE",0.42,51.85,0,3,"PSN","Bronze",2019-04-22 18:44:23
"Reinhardt","TANK",8.62,46.9,1.79,4.86,"PSN","Silver",2019-04-22 18:44:23
"D.Va","TANK",7.98,47.75,2.05,7.24,"PSN","Silver",2019-04-22 18:44:23
"Reinhardt","TANK",7.95,46.03,2.29,6.68,"PSN","Silver",2019-04-22 18:44:23
"Mercy","SUPPORT",7.65,46.07,2.29,1.18,"PSN","Silver",2019-04-22 18:44:23
"Lúcio","SUPPORT",6.17,50.04,2.26,11.46,"PSN","Silver",2019-04-22 18:44:23
"Orisa","TANK",5.84,50.76,2.69,7.56,"PSN","Silver",2019-04-22 18:44:23
"Junkrat","DEFENSE",3.99,44.98,2.45,10.84,"PSN","Silver",2019-04-22 18:44:23
"Baptiste","SUPPORT",3.77,45.57,1.94,9.81,"PSN","Silver",2019-04-22 18:44:23
"Zenyatta","SUPPORT",3.29,51.17,2.02,7.3,"PSN","Silver",2019-04-22 18:44:23
"Reaper","OFFENSE",3.29,44.07,1.62,16.45,"PSN","Silver",2019-04-22 18:44:23
"Soldier: 76","OFFENSE",2.96,47.29,1.94,10.6,"PSN","Silver",2019-04-22 18:44:23
"Zarya","TANK",2.93,45.72,2.65,6.9,"PSN","Silver",2019-04-22 18:44:23
"Symmetra","SUPPORT",2.92,55.68,3.18,10.26,"PSN","Silver",2019-04-22 18:44:23
"Ana","SUPPORT",2.82,41.79,3.15,6.09,"PSN","Silver",2019-04-22 18:44:23
"Hanzo","DEFENSE",2.37,44.73,2.43,10.51,"PSN","Silver",2019-04-22 18:44:23
"Roadhog","TANK",2.33,48.39,2.1,6.98,"PSN","Silver",2019-04-22 18:44:23
"Torbjörn","DEFENSE",2.26,54.4,2.94,10.36,"PSN","Silver",2019-04-22 18:44:23
"Bastion","DEFENSE",2.15,43.46,2.99,14.15,"PSN","Silver",2019-04-22 18:44:23
"Wrecking Ball","TANK",1.97,45.76,1.91,2.35,"PSN","Silver",2019-04-22 18:44:23
"Brigitte","SUPPORT",1.9,48.2,2.69,10.56,"PSN","Silver",2019-04-22 18:44:23
"Widowmaker","DEFENSE",1.82,40.67,1.46,6.18,"PSN","Silver",2019-04-22 18:44:23
"Mei","DEFENSE",1.75,47.42,1.9,11.29,"PSN","Silver",2019-04-22 18:44:23
"Pharah","OFFENSE",1.68,42.84,2.37,7.75,"PSN","Silver",2019-04-22 18:44:23
"Winston","TANK",1.59,43.16,2.09,4.26,"PSN","Silver",2019-04-22 18:44:23
"Genji","OFFENSE",1.57,44.4,1.69,7.06,"PSN","Silver",2019-04-22 18:44:23
"Ashe","OFFENSE",1.53,48.37,2.6,6.52,"PSN","Silver",2019-04-22 18:44:23
"McCree","OFFENSE",1.52,43.93,2.49,8.25,"PSN","Silver",2019-04-22 18:44:23
"Sombra","OFFENSE",1.35,37.44,2.63,9.2,"PSN","Silver",2019-04-22 18:44:23
"Tracer","OFFENSE",1.23,47.43,1.98,7.21,"PSN","Silver",2019-04-22 18:44:23
"Doomfist","OFFENSE",0.65,47.26,0.34,7.27,"PSN","Silver",2019-04-22 18:44:23
"Moira","SUPPORT",10.78,48.46,2.61,8.68,"PSN","Gold",2019-04-22 18:44:23
"Reinhardt","TANK",9.3,48.57,2.52,7.11,"PSN","Gold",2019-04-22 18:44:23
"Mercy","SUPPORT",7.42,48.22,2.65,1.53,"PSN","Gold",2019-04-22 18:44:23
"D.Va","TANK",7.37,50.29,2.54,7.88,"PSN","Gold",2019-04-22 18:44:23
"Lúcio","SUPPORT",6.2,52.05,2.18,12.97,"PSN","Gold",2019-04-22 18:44:23
"Orisa","TANK",4.6,53.53,2.82,8.02,"PSN","Gold",2019-04-22 18:44:23
"Baptiste","SUPPORT",4.22,46.78,2.64,10.91,"PSN","Gold",2019-04-22 18:44:23
"Junkrat","DEFENSE",3.89,49.23,3.01,11.85,"PSN","Gold",2019-04-22 18:44:23
"Zarya","TANK",3.68,45.71,2.22,8.11,"PSN","Gold",2019-04-22 18:44:23
"Ana","SUPPORT",3.46,44.33,2.59,7.88,"PSN","Gold",2019-04-22 18:44:23
"Zenyatta","SUPPORT",3.21,50.75,1.92,7.31,"PSN","Gold",2019-04-22 18:44:23
"Reaper","OFFENSE",3.19,47.82,2.24,16.12,"PSN","Gold",2019-04-22 18:44:23
"Soldier: 76","OFFENSE",2.74,47.7,2.01,10.96,"PSN","Gold",2019-04-22 18:44:23
"Roadhog","TANK",2.74,48.17,1.86,8.02,"PSN","Gold",2019-04-22 18:44:23
"Hanzo","DEFENSE",2.67,46.49,2.62,12.33,"PSN","Gold",2019-04-22 18:44:23
"Wrecking Ball","TANK",2.44,48.03,1.77,2.81,"PSN","Gold",2019-04-22 18:44:23
"Symmetra","SUPPORT",2.05,56.75,3.07,10.04,"PSN","Gold",2019-04-22 18:44:23
"Brigitte","SUPPORT",2.04,53.87,2.09,12.15,"PSN","Gold",2019-04-22 18:44:23
"McCree","OFFENSE",1.97,43.81,1.88,9.11,"PSN","Gold",2019-04-22 18:44:23
"Genji","OFFENSE",1.95,45.69,1.9,8.18,"PSN","Gold",2019-04-22 18:44:23
"Ashe","OFFENSE",1.79,47.63,2.32,7.14,"PSN","Gold",2019-04-22 18:44:23
"Mei","DEFENSE",1.78,50.31,2.46,11.45,"PSN","Gold",2019-04-22 18:44:23
"Sombra","OFFENSE",1.7,42.44,2.15,12.64,"PSN","Gold",2019-04-22 18:44:23
"Torbjörn","DEFENSE",1.67,53.88,2.43,9.86,"PSN","Gold",2019-04-22 18:44:23
"Winston","TANK",1.65,46.2,1.89,4.72,"PSN","Gold",2019-04-22 18:44:23
"Widowmaker","DEFENSE",1.63,43.56,2.17,6.69,"PSN","Gold",2019-04-22 18:44:23
"Pharah","OFFENSE",1.57,46.1,2.37,10.04,"PSN","Gold",2019-04-22 18:44:23
"Tracer","OFFENSE",1.22,44.28,2.1,7.42,"PSN","Gold",2019-04-22 18:44:23
"Bastion","DEFENSE",1.2,46.97,3.14,14.14,"PSN","Gold",2019-04-22 18:44:23
"Doomfist","OFFENSE",1.12,47.82,2.01,7.25,"PSN","Gold",2019-04-22 18:44:23
"Reinhardt","TANK",9.66,50.01,2.62,7.81,"PSN","Platinum",2019-04-22 18:44:23
"Moira","SUPPORT",7.7,51.21,2.53,10.26,"PSN","Platinum",2019-04-22 18:44:23
"Mercy","SUPPORT",6.71,50.09,2.31,1.81,"PSN","Platinum",2019-04-22 18:44:23
"D.Va","TANK",5.65,51.74,2.58,8.52,"PSN","Platinum",2019-04-22 18:44:23
"Lúcio","SUPPORT",5.5,52.82,2.12,13.89,"PSN","Platinum",2019-04-22 18:44:23
"Baptiste","SUPPORT",4.64,49.61,2.42,12.5,"PSN","Platinum",2019-04-22 18:44:23
"Zarya","TANK",4.36,48.57,2.46,10.29,"PSN","Platinum",2019-04-22 18:44:23
"Ana","SUPPORT",4.18,47.09,2.35,9.29,"PSN","Platinum",2019-04-22 18:44:23
"Orisa","TANK",4.13,55.76,2.64,9.18,"PSN","Platinum",2019-04-22 18:44:23
"Roadhog","TANK",3.85,50.58,1.83,10.57,"PSN","Platinum",2019-04-22 18:44:23
"Hanzo","DEFENSE",3.31,47.93,2.34,13.98,"PSN","Platinum",2019-04-22 18:44:23
"Reaper","OFFENSE",3.31,51.26,1.93,17.66,"PSN","Platinum",2019-04-22 18:44:23
"Junkrat","DEFENSE",3.07,52.21,3.03,12.17,"PSN","Platinum",2019-04-22 18:44:23
"Wrecking Ball","TANK",3.04,51.6,1.89,3.42,"PSN","Platinum",2019-04-22 18:44:23
"Genji","OFFENSE",3.02,48.37,1.89,9.93,"PSN","Platinum",2019-04-22 18:44:23
"McCree","OFFENSE",2.89,47.81,1.82,10.59,"PSN","Platinum",2019-04-22 18:44:23
"Zenyatta","SUPPORT",2.87,51.75,2.32,7.13,"PSN","Platinum",2019-04-22 18:44:23
"Soldier: 76","OFFENSE",2.79,50.31,1.86,11.94,"PSN","Platinum",2019-04-22 18:44:23
"Widowmaker","DEFENSE",2.38,46.9,1.88,8.71,"PSN","Platinum",2019-04-22 18:44:23
"Ashe","OFFENSE",2.12,50.52,1.89,9.26,"PSN","Platinum",2019-04-22 18:44:23
"Winston","TANK",1.72,48.54,1.78,5.6,"PSN","Platinum",2019-04-22 18:44:23
"Pharah","OFFENSE",1.72,48.82,2.1,14.13,"PSN","Platinum",2019-04-22 18:44:23
"Brigitte","SUPPORT",1.69,57.46,1.6,12.78,"PSN","Platinum",2019-04-22 18:44:23
"Sombra","OFFENSE",1.69,46.52,2.39,15.06,"PSN","Platinum",2019-04-22 18:44:23
"Symmetra","SUPPORT",1.54,57.54,3.31,10.51,"PSN","Platinum",2019-04-22 18:44:23
"Torbjörn","DEFENSE",1.53,57.67,2.72,10.33,"PSN","Platinum",2019-04-22 18:44:23
"Tracer","OFFENSE",1.44,46.38,1.68,8.35,"PSN","Platinum",2019-04-22 18:44:23
"Mei","DEFENSE",1.33,51.94,2.38,11.25,"PSN","Platinum",2019-04-22 18:44:23
"Doomfist","OFFENSE",1.3,50.15,1.42,8.01,"PSN","Platinum",2019-04-22 18:44:23
"Bastion","DEFENSE",0.87,49.68,3.14,17.03,"PSN","Platinum",2019-04-22 18:44:23
"Reinhardt","TANK",8.74,51.41,2.42,7.93,"PSN","Diamond",2019-04-22 18:44:23
"Mercy","SUPPORT",7.3,52.63,2.13,2.12,"PSN","Diamond",2019-04-22 18:44:23
"Lúcio","SUPPORT",5.41,53.67,2.08,13.72,"PSN","Diamond",2019-04-22 18:44:23
"Moira","SUPPORT",5.4,53.78,2.01,10.37,"PSN","Diamond",2019-04-22 18:44:23
"Orisa","TANK",4.95,56.35,2.01,9.34,"PSN","Diamond",2019-04-22 18:44:23
"Roadhog","TANK",4.91,53.22,2.16,11.52,"PSN","Diamond",2019-04-22 18:44:23
"Baptiste","SUPPORT",4.91,51.62,2.11,12.98,"PSN","Diamond",2019-04-22 18:44:23
"Zarya","TANK",4.56,52.06,1.94,11.9,"PSN","Diamond",2019-04-22 18:44:23
"D.Va","TANK",4.3,53.75,2.11,8.38,"PSN","Diamond",2019-04-22 18:44:23
"Ana","SUPPORT",4.14,50.02,2.02,9.48,"PSN","Diamond",2019-04-22 18:44:23
"Hanzo","DEFENSE",3.89,49.65,1.87,14.82,"PSN","Diamond",2019-04-22 18:44:23
"McCree","OFFENSE",3.5,49.53,1.59,12.16,"PSN","Diamond",2019-04-22 18:44:23
"Wrecking Ball","TANK",3.49,53.96,1.58,3.85,"PSN","Diamond",2019-04-22 18:44:23
"Genji","OFFENSE",3.2,50.88,1.74,11.11,"PSN","Diamond",2019-04-22 18:44:23
"Soldier: 76","OFFENSE",3.09,52.15,1.6,12.46,"PSN","Diamond",2019-04-22 18:44:23
"Widowmaker","DEFENSE",3.01,50.57,2.02,10.31,"PSN","Diamond",2019-04-22 18:44:23
"Zenyatta","SUPPORT",2.76,54.54,2.15,6.52,"PSN","Diamond",2019-04-22 18:44:23
"Ashe","OFFENSE",2.46,53.42,1.66,10.56,"PSN","Diamond",2019-04-22 18:44:23
"Reaper","OFFENSE",2.41,53.49,1.87,17.13,"PSN","Diamond",2019-04-22 18:44:23
"Sombra","OFFENSE",2.2,48.83,2.18,16.48,"PSN","Diamond",2019-04-22 18:44:23
"Pharah","OFFENSE",2.13,50.46,1.92,15.31,"PSN","Diamond",2019-04-22 18:44:23
"Winston","TANK",1.78,49.61,1.37,6.13,"PSN","Diamond",2019-04-22 18:44:23
"Tracer","OFFENSE",1.78,48.09,1.89,8.65,"PSN","Diamond",2019-04-22 18:44:23
"Torbjörn","DEFENSE",1.76,55.45,2.15,10.24,"PSN","Diamond",2019-04-22 18:44:23
"Junkrat","DEFENSE",1.69,55.3,3.13,11.62,"PSN","Diamond",2019-04-22 18:44:23
"Brigitte","SUPPORT",1.42,56.12,2.01,12.49,"PSN","Diamond",2019-04-22 18:44:23
"Doomfist","OFFENSE",1.39,54.87,1.03,8.83,"PSN","Diamond",2019-04-22 18:44:23
"Symmetra","SUPPORT",1.33,57.43,2.42,10.39,"PSN","Diamond",2019-04-22 18:44:23
"Mei","DEFENSE",1.2,54.99,2.49,11.17,"PSN","Diamond",2019-04-22 18:44:23
"Bastion","DEFENSE",0.88,53.78,2.93,18.25,"PSN","Diamond",2019-04-22 18:44:23
"Mercy","SUPPORT",10.81,51.66,2.09,2.19,"PSN","Master",2019-04-22 18:44:23
"Orisa","TANK",7.68,56.48,1.94,9.48,"PSN","Master",2019-04-22 18:44:23
"Reinhardt","TANK",6.48,50.3,2.03,7.56,"PSN","Master",2019-04-22 18:44:23
"Roadhog","TANK",6.38,51.88,1.7,10.85,"PSN","Master",2019-04-22 18:44:23
"Lúcio","SUPPORT",6.07,54.02,1.78,13.47,"PSN","Master",2019-04-22 18:44:23
"Baptiste","SUPPORT",5.38,51.43,1.73,13.23,"PSN","Master",2019-04-22 18:44:23
"Hanzo","DEFENSE",4.79,47.52,1.77,15.09,"PSN","Master",2019-04-22 18:44:23
"Zarya","TANK",3.4,50.14,1.76,11.71,"PSN","Master",2019-04-22 18:44:23
"Wrecking Ball","TANK",3.32,54.18,1.63,4.08,"PSN","Master",2019-04-22 18:44:23
"Soldier: 76","OFFENSE",3.23,51.67,1.61,13.37,"PSN","Master",2019-04-22 18:44:23
"Widowmaker","DEFENSE",3.2,52.14,1.39,10.35,"PSN","Master",2019-04-22 18:44:23
"Ana","SUPPORT",3.14,50.35,2.15,9.84,"PSN","Master",2019-04-22 18:44:23
"McCree","OFFENSE",3.08,49.81,1.88,12.17,"PSN","Master",2019-04-22 18:44:23
"Pharah","OFFENSE",3,53,2.25,14.93,"PSN","Master",2019-04-22 18:44:23
"Moira","SUPPORT",2.97,53.94,1.63,10.31,"PSN","Master",2019-04-22 18:44:23
"D.Va","TANK",2.92,49.39,2.45,7.55,"PSN","Master",2019-04-22 18:44:23
"Genji","OFFENSE",2.85,51.28,1.56,12.62,"PSN","Master",2019-04-22 18:44:23
"Sombra","OFFENSE",2.5,50.24,2.01,15.51,"PSN","Master",2019-04-22 18:44:23
"Ashe","OFFENSE",2.3,53.26,1.94,11.77,"PSN","Master",2019-04-22 18:44:23
"Zenyatta","SUPPORT",2.15,52.6,1.44,5.91,"PSN","Master",2019-04-22 18:44:23
"Torbjörn","DEFENSE",2.04,52.42,1.99,9.15,"PSN","Master",2019-04-22 18:44:23
"Tracer","OFFENSE",1.86,48.1,1.56,9.58,"PSN","Master",2019-04-22 18:44:23
"Doomfist","OFFENSE",1.58,53.71,1.1,8.14,"PSN","Master",2019-04-22 18:44:23
"Reaper","OFFENSE",1.5,51.04,0.9,16.48,"PSN","Master",2019-04-22 18:44:23
"Symmetra","SUPPORT",1.46,57.07,1.85,9.19,"PSN","Master",2019-04-22 18:44:23
"Junkrat","DEFENSE",1.41,51.75,1.92,10.36,"PSN","Master",2019-04-22 18:44:23
"Winston","TANK",1.28,48.62,1.21,5.9,"PSN","Master",2019-04-22 18:44:23
"Brigitte","SUPPORT",1.24,56.24,1.25,11.87,"PSN","Master",2019-04-22 18:44:23
"Bastion","DEFENSE",1.16,52.85,3.18,16.85,"PSN","Master",2019-04-22 18:44:23
"Mei","DEFENSE",0.81,53.01,0.72,10.11,"PSN","Master",2019-04-22 18:44:23
"Mercy","SUPPORT",10.38,58.87,1.33,2.44,"PSN","Grandmaster",2019-04-22 18:44:23
"Orisa","TANK",9.9,59.62,1.6,12.58,"PSN","Grandmaster",2019-04-22 18:44:23
"Roadhog","TANK",7.93,58.36,1.74,12.65,"PSN","Grandmaster",2019-04-22 18:44:23
"Hanzo","DEFENSE",6.74,52.71,2.15,16.92,"PSN","Grandmaster",2019-04-22 18:44:23
"Soldier: 76","OFFENSE",5.52,57.34,1.5,14.71,"PSN","Grandmaster",2019-04-22 18:44:23
"Lúcio","SUPPORT",5.34,56.23,2.84,13.66,"PSN","Grandmaster",2019-04-22 18:44:23
"Pharah","OFFENSE",4.6,57.1,2.99,16.54,"PSN","Grandmaster",2019-04-22 18:44:23
"Baptiste","SUPPORT",4.17,58.04,2.31,14.94,"PSN","Grandmaster",2019-04-22 18:44:23
"Widowmaker","DEFENSE",4.15,52.36,1.49,12.53,"PSN","Grandmaster",2019-04-22 18:44:23
"McCree","OFFENSE",3.99,51.85,1.9,12.79,"PSN","Grandmaster",2019-04-22 18:44:23
"Sombra","OFFENSE",3.75,57.38,1.83,16.84,"PSN","Grandmaster",2019-04-22 18:44:23
"Reinhardt","TANK",3.38,58.51,1.83,9.5,"PSN","Grandmaster",2019-04-22 18:44:23
"Ashe","OFFENSE",3.25,60.95,2.33,14.55,"PSN","Grandmaster",2019-04-22 18:44:23
"Tracer","OFFENSE",3.04,54.23,1.13,11.33,"PSN","Grandmaster",2019-04-22 18:44:23
"Wrecking Ball","TANK",2.49,59.14,3.05,5.47,"PSN","Grandmaster",2019-04-22 18:44:23
"Bastion","DEFENSE",2.09,57.77,2.31,18.08,"PSN","Grandmaster",2019-04-22 18:44:23
"Zarya","TANK",2.08,53.06,2.65,14.98,"PSN","Grandmaster",2019-04-22 18:44:23
"Genji","OFFENSE",1.88,60.97,1.47,12.57,"PSN","Grandmaster",2019-04-22 18:44:23
"Torbjörn","DEFENSE",1.81,52.31,1.14,8.72,"PSN","Grandmaster",2019-04-22 18:44:23
"Symmetra","SUPPORT",1.71,57.26,0.4,8.12,"PSN","Grandmaster",2019-04-22 18:44:23
"Ana","SUPPORT",1.69,56.85,2.03,9.8,"PSN","Grandmaster",2019-04-22 18:44:23
"D.Va","TANK",1.69,51.44,0.82,9.55,"PSN","Grandmaster",2019-04-22 18:44:23
"Junkrat","DEFENSE",1.6,55.65,1.29,12.4,"PSN","Grandmaster",2019-04-22 18:44:23
"Zenyatta","SUPPORT",1.51,54.84,1.36,6.61,"PSN","Grandmaster",2019-04-22 18:44:23
"Doomfist","OFFENSE",1.43,56.59,0.97,8.91,"PSN","Grandmaster",2019-04-22 18:44:23
"Winston","TANK",1.03,53.42,2.67,9.26,"PSN","Grandmaster",2019-04-22 18:44:23
"Mei","DEFENSE",0.87,56,1.57,10.73,"PSN","Grandmaster",2019-04-22 18:44:23
"Reaper","OFFENSE",0.72,51.96,1.92,16.01,"PSN","Grandmaster",2019-04-22 18:44:23
"Moira","SUPPORT",0.71,46.08,0.97,12.29,"PSN","Grandmaster",2019-04-22 18:44:23
"Brigitte","SUPPORT",0.53,63.16,1.3,11.1,"PSN","Grandmaster",2019-04-22 18:44:23
